employee_id,first_name,last_name,gender,hospital_id,department_id,designation,employment_type,salary,joining_date,phone_number,email
EMP00001,Elango,Kamath,Male,H029,D039,Housekeeping Staff,Contract,106063.71,2019-11-13,9472844608,elango.kamath23@rediffmail.com
EMP00002,Kiran,Nair,Male,H014,D018,Accountant,Full-Time,58659.86,2012-03-29,9158238732,kiran.nair32@outlook.com
EMP00003,Mohan,Gopalakrishnan,Male,H010,D013,Administrator,Full-Time,101310.71,2024-10-05,9394480470,mohan.gopalakrishnan22@yahoo.com
EMP00004,Kala,Naidu,Female,H021,D028,Receptionist,Full-Time,105450.02,2018-03-09,9838562558,kala.naidu7@rediffmail.com
EMP00005,Divya,Bhat,Female,H017,D022,Staff Nurse,Full-Time,27297.98,2008-01-05,9408248616,divya.bhat60@rediffmail.com
EMP00006,Kavya,Venkatesh,Female,H023,D031,Lab Technician,Full-Time,20614.65,2022-10-01,9662374677,kavya.venkatesh25@outlook.com
EMP00007,Mahesh,Shetty,Male,H016,D021,Receptionist,Part-Time,114738.36,2020-01-07,9212792797,mahesh.shetty75@outlook.com
EMP00008,Jayanthi,Iyer,Female,H010,D013,Accountant,Full-Time,51842.04,2005-11-11,9352914784,jayanthi.iyer75@yahoo.com
EMP00009,Sathish,Nair,Male,H026,D035,Radiology Technician,Full-Time,84093.75,2019-12-21,9531619350,sathish.nair76@yahoo.com
EMP00010,Sandhya,Shetty,F,H021,D028,Ward Boy,Full-Time,24574.85,2008-09-01,9930634562,sandhya.shetty83@outlook.com
EMP00011,Ganesh,Krishnan,Male,H008,D010,Accountant,Full-Time,88496.92,2020-09-27,9580454378,ganesh.krishnan39@rediffmail.com
EMP00012,Latha,Chandrasekaran,Female,H022,D029,Administrator,Full-Time,26777.92,2005-02-26,9896488089,latha.chandrasekaran81@yahoo.com
EMP00013,Prakash,Bhat,Male,H005,D006,Administrator,Full-Time,54306.83,2016-06-15,9818128644,prakash.bhat60@yahoo.com
EMP00014,Girish,Sarma,m,H018,D023,Lab Technician,Part-Time,66202.77,2024-05-31,9680494977,girish.sarma75@rediffmail.com
EMP00015,Elango,Varma,Male,H030,D040,Accountant,Full-Time,74646.2,2021-11-17,9507919875,elango.varma92@yahoo.com
